,Date,AAPL,GOOG,MSFT
"2586-1",2014-11-25,117.59999999999999,541.08000000000004,47.469999999999999
"2587-1",2014-11-26,119,540.37,47.75
"2588-1",2014-11-28,118.93000000000001,541.83000000000004,47.810000000000002
"2589-1",2014-12-01,115.06999999999999,533.79999999999995,48.619999999999997
"2590-1",2014-12-02,114.63,533.75,48.460000000000001
"2591-1",2014-12-03,115.93000000000001,531.32000000000005,48.079999999999998
"2592-1",2014-12-04,115.48999999999999,537.30999999999995,48.840000000000003
"2593-1",2014-12-05,115,525.25999999999999,48.420000000000002
"2594-1",2014-12-08,112.40000000000001,526.98000000000002,47.700000000000003
"2595-1",2014-12-09,114.12,533.37,47.590000000000003
"2596-1",2014-12-10,111.95,526.05999999999995,46.899999999999999
"2597-1",2014-12-11,111.62,528.34000000000003,47.170000000000002
"2598-1",2014-12-12,109.73,518.65999999999997,46.950000000000003
"2599-1",2014-12-15,108.22,513.79999999999995,46.670000000000002
"2600-1",2014-12-16,106.73999999999999,495.38999999999999,45.159999999999997
"2601-1",2014-12-17,109.41,504.88999999999999,45.740000000000002
"2602-1",2014-12-18,112.65000000000001,511.10000000000002,47.520000000000003
"2603-1",2014-12-19,111.78,516.35000000000002,47.659999999999997
"2604-1",2014-12-22,112.94,524.87,47.979999999999997
"2605-1",2014-12-23,112.54000000000001,530.59000000000003,48.450000000000003
"2606-1",2014-12-24,112.01000000000001,528.76999999999998,48.140000000000001
"2607-1",2014-12-26,113.98999999999999,534.02999999999997,47.880000000000003
"2608-1",2014-12-29,113.91,530.33000000000004,47.450000000000003
"2609-1",2014-12-30,112.52,530.41999999999996,47.020000000000003
"2610-1",2014-12-31,110.38,526.39999999999998,46.450000000000003
"2611-1",2015-01-02,109.33,524.80999999999995,46.759999999999998
"2612-1",2015-01-05,106.25,513.87,46.32
"2613-1",2015-01-06,106.26000000000001,501.95999999999998,45.649999999999999
"2614-1",2015-01-07,107.75,501.10000000000002,46.229999999999997
"2615-1",2015-01-08,111.89,502.68000000000001,47.590000000000003
"2616-1",2015-01-09,112.01000000000001,496.17000000000002,47.189999999999998
"2617-1",2015-01-12,109.25,492.55000000000001,46.600000000000001
